1948,Charolais
1492,Pélardon
1493,Morbier
1496,Tome des Bauges
1510,Pomme de terre de l'Ile de Ré
1889,Pommeau de Normandie
1473,Maroilles
1579,Oignon doux des Cévennes
1476,Neufchâtel
1474,Mont d'Or
1475,Munster
1478,Picodon
1348,Cognac ou Eau-de-vie de Cognac ou Eau-de-vie des Charentes
1349,Cognac Grande Champagne ou Grande Fine Champagne
1955,Armagnac-Ténarèze
1957,Haut Armagnac
1956,Bas Armagnac
1953,Armagnac
1952,Blanche Armagnac
1347,Floc de Gascogne
1959,Volaille de Bresse, Poularde de Bresse, Chapon de Bresse
1488,Beurre Charentes-Poitou
1878,Oignon de Roscoff
1874,Macvin du Jura
1502,Miel de sapin des Vosges
1504,Taureau de Camargue
1509,Miel de Corse - Mele di Corsica
1651,Prés-salés de la baie de Somme
1644,Olive de Nîmes
1612,Pomme du Limousin
1477,Ossau-Iraty
1501,Noix de Grenoble
1463,Cantal
1647,Rigotte de Condrieu
1646,Gruyère
1359,Calvados Pays d'Auge
1353,Cognac Fins Bois
1352,Cognac Borderies
1350,Cognac Petite Champagne ou Petite Fine Champagne
1354,Cognac Bois ordinaires ou Bois à terroirs
1674,Prés-salés du Mont-Saint-Michel
1457,Bleu des Causses
1515,Olive de Nice
1514,Piment d'Espelette ou Piment d'Espelette - Ezpeletako Biperra
1516,Noix du Périgord
1459,Brie de Meaux
1640,Moules de bouchot de la baie du Mont-Saint-Michel
952,Nuits-Saint-Georges premier cru Les Chaboeufs
1481,Reblochon de Savoie
1850,Pommeau de Bretagne
1485,Sainte-Maure de Touraine
1639,Pomme de terre primeur du Roussillon
1595,Fin Gras du Mézenc
1483,Roquefort
1482,Rocamadour
1480,Pouligny-Saint-Pierre
1487,Selles-sur-Cher
1486,Salers
2132,Marc d'Alsace 
1808,Martinique
1360,Cornouaille
